FileID,Emotion
145,hap
146,hap
147,hap
148,hap
150,hap
152,hap
153,hap
154,hap
155,hap
157,fea
158,hap
159,hap
160,hap
166,hap
168,hap
170,hap
172,ang
174,sur
175,sur
176,sur
178,sur
179,fea
182,sur
185,ang
186,sur
188,sur
189,sur
190,sur
191,sur
193,sur
197,sur
199,sur
203,neu
204,neu
205,neu
207,neu
209,neu
211,neu
213,neu
215,neu
220,neu
224,neu
225,neu
227,neu
228,neu
229,neu
230,neu
232,neu
238,ang
239,fea
244,sur
246,ang
248,ang
249,fea
250,fea
252,sur
254,fea
255,fea
256,fea
258,fea
259,dis
260,fea
263,fea
264,fea
265,ang
266,dis
271,dis
272,ang
273,hap
274,fea
275,dis
276,ang
278,dis
281,dis
282,dis
283,dis
287,ang
291,ang
294,hap
295,ang
296,ang
302,ang
303,hap
305,ang
308,ang
309,ang
310,ang
311,ang
312,ang
315,ang
317,ang
319,ang
320,ang
322,ang
323,ang
326,ang
327,sad
328,neu
329,sad
330,neu
331,sad
339,hap
341,sad
343,sad
345,sad
346,neu
348,hap
349,neu
350,sad
355,sad
356,neu
357,neu
1676,hap
1679,hap
1682,hap
1683,hap
1685,ang
1686,ang
1688,sur
1691,sur
1692,ang
1694,sur
1695,dis
1696,sur
1698,neu
1699,neu
1700,neu
1701,neu
1705,neu
1707,neu
1709,fea
1710,fea
1711,fea
1714,fea
1717,fea
1718,fea
1720,dis
1721,sur
1722,ang
1725,dis
1726,ang
1730,dis
1731,ang
1732,ang
1737,ang
1738,ang
1739,ang
1741,ang
1743,neu
1744,sad
1746,sad
1747,neu
1749,sad
1751,sad
1978,hap
1981,hap
1982,sur
1983,hap
1984,ang
1985,sur
1986,sad
1987,hap
1992,ang
1994,sur
1997,sur
1998,sur
2000,sur
2001,sur
2003,sur
2005,fea
2006,sur
2008,ang
2010,neu
2011,hap
2013,neu
2014,sur
2015,neu
2016,neu
2021,neu
2022,neu
2026,neu
2028,sur
2033,fea
2035,fea
2036,fea
2037,fea
2038,fea
2040,sur
2041,fea
2044,ang
2048,hap
2049,dis
2052,fea
2053,ang
2054,ang
2055,dis
2057,ang
2059,dis
2061,ang
2062,ang
2063,ang
2065,ang
2068,ang
2070,ang
2071,ang
2072,ang
2073,fea
2077,sad
2079,ang
2081,sad
2082,ang
2084,sad
2085,sad
2086,sad
2092,sad
2093,fea
2199,hap
2200,hap
2202,hap
2203,hap
2206,hap
2208,hap
2210,hap
2211,hap
2213,hap
2217,sur
2218,sur
2219,sur
2221,sur
2222,sur
2224,sur
2226,sur
2228,sur
2229,sur
2233,neu
2234,neu
2235,neu
2238,neu
2239,neu
2244,neu
2245,neu
2248,neu
2249,neu
2252,fea
2254,sad
2256,fea
2257,fea
2258,fea
2259,fea
2262,ang
2264,fea
2266,fea
2267,dis
2268,dis
2269,dis
2270,dis
2272,dis
2274,dis
2275,dis
2279,dis
2280,dis
2284,ang
2285,fea
2286,ang
2290,ang
2291,ang
2292,dis
2295,ang
2296,ang
2300,neu
2301,sad
2302,sad
2305,sad
2307,sad
2308,sad
2309,sad
2312,sad
2313,sad
2315,sad
2438,hap
2439,hap
2442,sad
2444,hap
2446,hap
2447,hap
2448,hap
2449,hap
2450,hap
2455,sur
2456,dis
2458,sur
2459,sur
2461,sur
2462,sur
2465,sur
2467,sur
2468,sur
2470,neu
2471,neu
2474,neu
2476,neu
2477,neu
2478,neu
2479,neu
2480,neu
2483,neu
2488,sad
2489,fea
2490,fea
2491,fea
2492,fea
2495,fea
2499,fea
2501,sad
2503,fea
2504,sad
2505,dis
2507,neu
2510,dis
2511,dis
2512,dis
2513,dis
2518,dis
2519,hap
2521,dis
2523,ang
2524,ang
2525,ang
2529,ang
2531,dis
2533,ang
2534,ang
2537,ang
2538,hap
2540,neu
2542,sad
2544,sad
2545,sad
2546,sad
2547,dis
2552,sad
2554,sad
6219,hap
6220,hap
6221,hap
6222,hap
6226,hap
6228,hap
6232,hap
6233,hap
6234,sur
6236,sur
6238,ang
6240,sad
6242,sur
6245,sur
6246,sur
6247,sur
6250,neu
6255,neu
6256,neu
6258,neu
6260,sad
6261,neu
6262,sad
6263,hap
6266,fea
6267,fea
6268,fea
6269,fea
6271,fea
6274,fea
6275,fea
6277,fea
6280,dis
6281,dis
6283,dis
6284,dis
6285,dis
6286,dis
6288,dis
6289,dis
6295,ang
6297,sur
6299,ang
6300,ang
6302,ang
6303,ang
6304,ang
6305,ang
6310,hap
6311,sad
6313,fea
6315,sad
6316,sad
6318,sad
6321,sad
6322,sad
8320,hap
8322,hap
8325,fea
8326,hap
8327,hap
8329,hap
8330,hap
8331,hap
8335,sur
8336,fea
8337,sur
8339,ang
8343,hap
8344,sur
8345,sur
8347,sur
8350,neu
8352,sur
8353,neu
8354,neu
8356,dis
8357,neu
8363,neu
8365,neu
8368,fea
8369,fea
8371,fea
8372,fea
8373,sad
8375,fea
8379,fea
8380,fea
8382,hap
8384,dis
8385,dis
8388,dis
8390,dis
8391,dis
8392,dis
8394,hap
8396,ang
8397,hap
8398,ang
8400,ang
8402,ang
8406,ang
8407,ang
8408,ang
8411,sad
8414,sad
8418,fea
8419,sad
8421,sad
8422,sad
8423,sad
8425,sad
9721,hap
9722,hap
9725,hap
9726,hap
9727,hap
9730,hap
9732,sad
9734,hap
9737,sur
9740,fea
9742,sur
9745,sur
9746,sur
9748,sur
9749,sur
9750,sur
9751,neu
9754,neu
9755,neu
9756,neu
9757,neu
9760,neu
9761,neu
9763,neu
9766,fea
9767,fea
9768,fea
9770,fea
9772,fea
9774,fea
9776,fea
9779,fea
9781,dis
9784,dis
9785,dis
9786,dis
9788,dis
9790,dis
9792,dis
9794,dis
9796,ang
9797,sur
9800,ang
9801,ang
9802,ang
9803,ang
9807,ang
9810,ang
9814,sad
9815,sad
9816,fea
9817,sad
9819,sad
9822,dis
9823,sad
9824,sad
10036,hap
10038,hap
10039,hap
10041,hap
10044,hap
10045,hap
10047,hap
10050,hap
10051,sur
10055,sur
10056,sur
10057,sur
10058,sur
10060,dis
10064,sur
10065,sur
10067,neu
10068,neu
10069,neu
10070,neu
10071,neu
10072,neu
10075,neu
10078,neu
10082,fea
10083,fea
10084,fea
10087,fea
10089,fea
10092,fea
10094,fea
10095,fea
10097,dis
10098,dis
10099,dis
10102,dis
10104,dis
10107,dis
10109,dis
10110,dis
10111,ang
10113,ang
10114,ang
10115,ang
10121,ang
10122,ang
10124,ang
10125,ang
10128,sad
10130,sad
10132,sad
10133,sad
10134,sad
10135,sad
10139,neu
10140,sad
10141,hap
10142,hap
10144,hap
10146,hap
10147,hap
10151,hap
10152,hap
10155,hap
10156,sur
10158,sur
10162,sur
10165,sur
10166,sur
10167,hap
10169,sur
10170,sur
10171,neu
10174,neu
10175,sur
10177,neu
10179,neu
10181,neu
10184,neu
10185,hap
10187,fea
10188,fea
10189,fea
10191,fea
10194,fea
10198,fea
10199,fea
10200,fea
10201,dis
10202,dis
10203,dis
10207,dis
10209,dis
10210,dis
10213,dis
10214,sur
10217,ang
10218,ang
10219,ang
10220,ang
10221,ang
10226,ang
10227,ang
10230,ang
10231,fea
10232,sad
10233,sad
10237,sad
10238,ang
10239,ang
10240,fea
10241,sad
11170,hap
11171,hap
11172,fea
11174,hap
11175,sad
11178,fea
11180,sad
11182,hap
11183,sur
11184,sad
11186,hap
11187,sad
11189,sad
11190,hap
11192,sad
11195,neu
11199,sad
11202,neu
11204,neu
11206,hap
11208,hap
11211,neu
11214,hap
11216,hap
11218,hap
11220,sur
11221,sur
11222,fea
11223,hap
11224,sad
11225,fea
11230,sad
11232,neu
11235,hap
11236,hap
11238,neu
11240,neu
11242,hap
11245,fea
11256,fea
11257,fea
11258,hap
11264,hap
11269,fea
11271,hap
11273,fea
11274,neu
11275,ang
11276,fea
11278,hap
11279,neu
11280,neu
11281,hap
11282,fea
11289,hap
11290,hap
11291,sur
11292,hap
11293,hap
11295,sur
11297,sad
11298,sad
11302,neu
11303,hap
11304,hap
11305,hap
11306,hap
11308,hap
11309,hap
11310,hap
11314,hap
11318,hap
11319,fea
11320,sad
11321,neu
11323,ang
11324,hap
11327,sad
11328,neu
11329,sad
11330,hap
11331,hap
11335,hap
11338,fea
11340,fea
11342,sad
11344,hap
11347,hap
11348,hap
11349,hap
11350,sad
11357,fea
11359,hap
11360,hap
11363,sad
11364,sad
11366,hap
11370,hap
11374,neu
11375,ang
11376,sad
11378,sad
11380,hap
11386,fea
11390,neu
11391,hap
11392,hap
11394,hap
11395,hap
11397,fea
11398,hap
11399,sad
11401,hap
11402,hap
11403,sad
11404,hap
11405,neu
11406,hap
11409,hap
11413,fea
11415,hap
11416,hap
11421,hap
11422,sur
11424,sad
11428,neu
11429,hap
11430,hap
11432,sad
11433,hap
11434,fea
11437,neu
11438,hap
11440,sad
11441,hap
11443,neu
11446,neu
11447,hap
11448,hap
11449,fea
11451,neu
11452,sad
11453,ang
11455,hap
11458,neu
11459,ang
11460,hap
11461,hap
11463,hap
11465,neu
